प्रथमोऽध्याय,प्रथम+अध्याय
जृम्भाऽभवत,जृम्भा+अभवत
देव्युवाच,देवी+उवाच
प्रभुरसि,प्रभु+असि
नृपोऽवदत,नृप+अवदत
मूर्खोऽस्मि,मूर्ख+अस्मि
शोभनमेव,शोभनम+एव
जनिरभवत,जनि+अभवत
रात्रिश्च,रात्रि+च
किन्त्वह,किन्तु+अह
नाभिजानाति,न+अभिजानाति
ममाभिधान,मम+अभिधान
भ्रमोऽस्ति,भ्रम+अस्ति
संस्कृतमवदत,संस्कृतम+अवदत
इवाचरत,इव+आचरत
यत्रापि,यत्र+अपि
गोत्रश्च,गोत्र+च
नापगत,न+अपगत
उपहारस्तु,उपहार+तु
ममोपहार,मम+उपहार
दूतोऽवदत,दूत+अवदत
तथाऽस्ति,तथा+अस्ति
स्मितोज्ज्वलम,स्मिता+उज्ज्वलम
विदितमभवत,विदितम+अभवत
भूपतिरुवाच,भूपति+उवाच
धन्यस्त्व,धन्य+त्वम
मामनुसर,माम+अनुसर
आसीनोऽस्ति,आसीन+अस्ति
अधिकृतोऽसि,अधिकृत+असि
धेनुरपि,धेनु+अपि
मुखमक्षिपत,मुखम+अक्षिपत
दुग्धमपि,दुग्धम+अपि
कंसमानाय्य,कंसम+आनाय्य
पयोऽमृत,पय+अमृत
एवैषा,एव+एषा
पादत्राणमपि,पादत्राणम+अपि
सर्वथाऽनभिज्ञ,सर्वथा+अनभिज्ञ
यदेषा,यत+एषा
नायकोऽवदत,नायक+अवदत
प्रथैषा,प्रथा+एषा
शनैरुवाच,शनै+उवाच
यथार्थमस्ति,यथार्थम+अस्ति
ततोऽकस्मात,तत+अकस्मात
कश्चिन्महात्मा,कश्चित+महात्मा
विस्मितोऽभवत,विस्मित+अभवत
सोऽभ्यन्तर,स+अभ्यन्तर
कम्बलमस्ति,कम्बलम+अस्ति
दारिद्र्योपहता,दारिद्र्य+उपहता
नृपतिस्तु,नृपति+तु
योऽन्य,य+अन्य
चास्ते,च+आस्ते
स्वयमत्र,स्वयम+अत्र
नावलोकितम,न+अवलोकितम
कोऽहम,क+अहम
छायाऽस्मि,छाया+अस्मि
प्रतिमाऽवदत,प्रतिमा+अवदत
चित्रमेव,चित्रम+एव
कट्वपि,कटु+अपि
तेनोक्तम,तेन+उक्तम
कश्चिद्रिपु,कश्चित+रिपु
महाराजोऽवदत,महाराज+अवदत
भोक्तव्यमेव,भोक्तव्यम+एव
ममोपकार,मम+उपकार
इदमुपायन,इदम+उपायन
सत्कृतोऽभवत,सत्कृत+अभवत
तदाऽकस्मात,तदा+अकस्मात
जलमपि,जलम+अपि
प्रकृतिरेव,प्रकृति+एव
अमात्योऽपि,अमात्य+अपि
भूपतिस्तम,भूपति+तम
अगृहीत्वैव,अगृहीत्वा+एव
इतस्ततोऽपश्यत,इतस्तत+अपश्यत
चावदत,च+अवदत
सम्बद्धोऽस्ति,सम्बद्ध+अस्ति
सभासदुवाच,सभासत+उवाच
प्रभावरेषा,प्रभाव+एषा
किन्त्वनारत,किन्तु+अनारत
तमभिवाद्य,तम+अभिवाद्य
ह्योऽह,ह्य+अह
श्रुत्वाऽपि,श्रुत्वा+अपि
मयाऽवगत,मया+अवगत
दीर्घमायु,दीर्घम+आयु
लब्ध्वाऽह,लब्ध्वा+अह
कश्चिज्जटाधर,कश्चित+जटाधर
एषोऽनुपम,एष+अनुपम
किञ्चिन्मात्र,किञ्चित+मात्र
दत्त्वाऽवदत,दत्त्वा+अवदत
गुडोऽयम,गुड+अयम
पुरोहितश्च,पुरोहित+च
तपस्यैषा,तपस्या+एषा
यद्येवम,यदि+एवम
नृपतिरवोचत,नृपति+अवोचत
भूपतिरुच्चै,भूपति+उच्चै
दुर्जनोऽकारणम,दुर्जन+अकारणम
कुक्कुटोऽस्ति,कुक्कुट+अस्ति
चतुरश्च,चतुर+च
तेनावमानित,तेन+अवमानित
अकिञ्चनोऽस्ति,अकिञ्चन+अस्ति
ब्राह्मणोऽस्मि,ब्राह्मण+अस्मि
हानिस्तु,हानि+तु
त्वमस्य,त्वम+अस्य
सोऽनेकश,स+अनेकश
कस्तावत,क+तावत
दक्षिणेति,दक्षिणा+इति
ब्राह्मणोऽयम,ब्राह्मण+अयम
प्रतिस्पर्धेव,प्रतिस्पर्धा+इव
सिंहासनमधिष्ठाय,सिंहासनम+अधिष्ठाय
तूष्णीमास्त,तूष्णीम+आस्त
इवावदत,इव+अवदत
त्वरितमेका,त्वरितम+एका
योजनमन्तरेण,योजनम+अन्तरेण
धनमाहृत्य,धनम+आहृत्य
अन्यश्च,अन्य+च
नाटकमारब्ध,नाटकम+आरब्ध
अनभिज्ञोऽस्मि,अनभिज्ञ+अस्मि
स्थालमेव,स्थालम+एव
महीभृदुवाच,महीभृत+उवाच
त्वमिव,त्वम+इव
भार्याऽपि,भार्या+अपि
रजकोऽपश्यत,रजक+अपश्यत
रजकोऽवदत,रजक+अवदत
कस्त्व,क+त्व
धैर्यमाश्रित्य,धैर्यम+आश्रित्य
अहमिद,अहम+इद
महाराजोऽतीव,महाराज+अतीव
उपस्थितोऽस्ति,उपस्थित+अस्ति
दशाऽभवत,दशा+अभवत
आक्रान्तोऽस्मि,आक्रान्त+अस्मि
यावज्जीवति,यावत+जीवति
वर्षेऽपि,वर्षे+अपि
ततोऽमात्य,तत+अमात्य
श्रेष्ठश्च,श्रेष्ठ+च
मूर्तिरस्ति,मूर्ति+अस्ति
जीवनमिह,जीवनम+इह
वक्रमपि,वक्रम+अपि
गृहमानीय,गृहम+आनीय
तावन्मात्रम,तावत+मात्रम
इवाभवत,इव+अभवत
प्रकृतिरपि,प्रकृति+अपि
गतिरियम,गति+इयम
चावगत,च+अवगत
अवरोधश्च,अवरोध+च
धन्योऽस्ति,धन्य+अस्ति
शिरश्च,शिर+च
अशुभमेव,अशुभम+एव
सिद्धमभवत,सिद्धम+अभवत
येनापि,येन+अपि
युक्तिरस्ति,युक्ति+अस्ति
केनैषा,केन+एषा
नीतिर्जयति,नीति+जयति
इदमवगतम,इदम+अवगतम
कृत्यमिदम,कृत्यम+इदम
वार्तेय,वार्ता+इय
यदैव,यदा+एव
नितान्तमलस,नितान्तम+अलस
कृषकोऽवदत,कृषक+अवदत
क्षेत्रमस्ति,क्षेत्रम+अस्ति
महाराजस्त,महाराज+त
कूपोऽस्ति,कूप+अस्ति
भूपतिरिदम,भूपति+इदम
सोऽत्यर्थ,स+अत्यर्थ
नृपोऽपि,नृप+अपि
किन्त्वसौ,किन्तु+असौ
भूपतिरादिष्ट,भूपति+आदिष्ट
आदिष्टोऽसि,आदिष्ट+असि
भूपस्त,भूप+त
संख्याऽधिका,संख्या+अधिका
भूपालस्त,भूपाल+त
वचोऽङ्गीकृतम,वच+अङ्गीकृतम
मामेक,माम+एक
चोक्त,च+उक्त
भियाऽयम,भिया+अयम
दुष्करमिति,दुष्करम+इति
त्रुटिर्वा,त्रुटि+वा
त्रुटिर्विद्यते,त्रुटि+विद्यते
पश्यन्नुवाच,पश्यन+उवाच
कमलमिव,कमलम+इव
उच्चैरुवाच,उच्चै+उवाच
त्वरितमुत्थाय,त्वरितम+उत्थाय
ममाम्बा,मम+अम्बा
वेदनाऽस्ति,वेदना+अस्ति
सङ्गमवाप्य,सङ्गम+अवाप्य
सन्तुष्टश्च,सन्तुष्ट+च
विद्वानपि,विद्वान+अपि
चत्वरमधिष्ठाय,चत्वरम+अधिष्ठाय
धन्योऽसि,धन्य+असि
योऽस्य,य+अस्य
तेनेदृश,तेन+ईदृश
रत्नमिदम,रत्नम+इदम
गिरोवाच,गिरा+उवाच
कृताऽस्ति,कृता+अस्ति
हीरस्तु,हीर+तु
त्वेष,तु+एष
कृतमस्ति,कृतम+अस्ति
अतोऽसौ,अत+असौ
माभू,मा+अभू
नापीडयत,न+अपीडयत
उत्पत्तिर्न,उत्पत्ति+न
सोऽनेन,स+अनेन
पुरुषोऽस्ति,पुरुष+अस्ति
साधूक्तम,साधु+उक्तम
करोत्वसौ,करोति+असौ
पतित्वैव,पतित्वा+एव
कौतुकमिह,कौतुकम+इह
सहचरोऽभवत,सहचर+अभवत
प्रातरुद्यान,प्रात+उद्यान
तेनेद,तेन+इद
ज्ञातमभवत,ज्ञातम+अभवत
स्वयमसौ,स्वयम+असौ
पणोऽपि,पण+अपि
महीपालोऽपि,महीपाल+अपि
कथमतिमात्र,कथम+अतिमात्र
लब्ध्वाऽपि,लब्ध्वा+अपि
लोभस्तु,लोभ+तु
विचित्यैव,विचित्य+एव
आचरणमपि,आचरणम+अपि
ममानुज,मम+अनुज
सज्जाऽभवत,सज्जा+अभवत
सुताऽसि,सुता+असि
नैषा,न+एषा
देवोऽस्ति,देव+अस्ति
शक्तोऽसि,शक्त+असि
नृपतिरुवाच,नृपति+उवाच
घ्रात्वाऽवगत,घ्रात्वा+अवगत
इदमुद्यान,इदम+उद्यान
द्वारमुल्लंघ्य,द्वारम+उल्लंघ्य
नृपस्तदा,नृप+तदा
अप्यवदत,अपि+अवदत
ततोऽधिकम,तत+अधिकम
राघवोऽवदत,राघव+अवदत
छिद्रमपि,छिद्रम+अपि
तदाऽसौ,तदा+असौ
सन्नुवाच,सन+उवाच
स्यूतोऽपि,स्यूत+अपि
सौचिकोऽवदत,सौचिक+अवदत
ममातीव,मम+अतीव
प्रियोऽस्ति,प्रिय+अस्ति
तस्मादन्य,तस्मात+अन्य
शुकस्तु,शुक+तु
कथमेवम,कथम+एवम
प्रसन्नोऽभवत,प्रसन्न+अभवत
शनैरिय,शनै+इय
नूनमेष,नूनम+एष
प्रीतिर्यत्र,प्रीति+यत्र
एकतरोऽवदत,एकतर+अवदत
अपरोऽवदत,अपर+अवदत
यत्रौदार्य,यत्र+औदार्य
श्रुतश्च,श्रुत+च
भूपतिरपि,भूपति+अपि
नृपस्त,नृप+त
नृपोऽपश्यत,नृप+अपश्यत
कष्टमापन्न,कष्टम+आपन्न
असन्तुष्टस्तु,असन्तुष्ट+तु
मधुरश्च,मधुर+च
जानन्तीद,जानन्ति+इद
यद्युपहार,यदि+उपहार
स्याद्यदि,स्यात+यदि
पेटिकाऽस्ति,पेटिका+अस्ति
सिक्तोऽभवत,सिक्त+अभवत
चातुर्यमधिकृत्य,चातुर्यम+अधिकृत्य
धरण्येषा,धरणी+एषा
रत्नगर्भेति,रत्नगर्भा+इति
सत्यमुक्त,सत्यम+उक्त
किञ्चिदुक्तम,किञ्चित+उक्तम
तदादिष्ट,तदा+आदिष्ट
भवदादिष्टम,भवत+आदिष्टम
विलक्षणोऽसि,विलक्षण+असि
वृष्टिर्जाता,वृष्टि+जाता
इदमन्तरेण,इदम+अन्तरेण
सहसोत्थाय,सहसा+उत्थाय
फलमवश्य,फलम+अवश्य
दण्डोऽधिक,दण्ड+अधिक
तृतीयोऽवदत,तृतीय+अवदत
चतुर्थोऽवदत,चतुर्थ+अवदत
पञ्चमोऽवदत,पञ्चम+अवदत
श्वोऽह,श्व+अह
ततोऽपरेण,तत+अपरेण
धृष्टोऽयम,धृष्ट+अयम
किमिदानी,किम+इदानी
खिन्नोऽस्मि,खिन्न+अस्मि
ममाश्वासन,मम+आश्वासन
क्रुधाऽवदत,क्रुधा+अवदत
किमादिष्ट,किम+आदिष्ट
भूपालोऽपि,भूपाल+अपि
जनश्चेत,जन+चेत
पुनर्जीवन,पुन+जीवन
कश्चिदवदत,कश्चित+अवदत
दुर्जनश्च,दुर्जन+च
इदमह,इदम+अह
विधिरपि,विधि+अपि
ब्राह्मणोऽवदत,ब्राह्मण+अवदत
चिरादपि,चिरात+अपि
द्वारमपि,द्वारम+अपि
तत्रोपविष्ट,तत्र+उपविष्ट
नरस्तेन,नर+तेन
तान्त्रिकश्च,तान्त्रिक+च
प्रबुद्धोऽभवत,प्रबुद्ध+अभवत
उपस्थितोऽभवत,उपस्थित+अभवत
बालकोऽसौ,बालक+असौ
परिव्राजकस्तत्र,परिव्राजक+तत्र
तत्रातिष्ठत,तत्र+अतिष्ठत
बालकोऽपि,बालक+अपि
चपलश्च,चपल+च
प्रत्युत्पन्नमतिश्च,प्रत्युत्पन्नमति+च
भूपतिस्त,भूपति+त
महात्मोवाच,महात्मा+उवाच
योऽधिक,य+अधिक
उल्लङ्घनमेव,उल्लङ्घनम+एव
आरब्धमेव,आरब्धम+एव
शौर्यमेव,शौर्यम+एव
निष्कारणमेक,निष्कारणम+एक
त्वमगम,त्वम+अगम
कथमभववत,कथम+अभवत
रावणोपि,रावण+अपि
रावणस्तपस,रावण+तपस
प्रसिद्धिरेव,प्रसिद्धि+एव
वयमिदानी,वयम+इदानी
अस्तीति,अस्ति+इति
मन्दिरमागत,मन्दिरम+आगत
श्रीरामस्तु,श्रीराम+तु
बलमह,बलम+अह
घ्राणमिति,घ्राणम+इति
वशमेव,वशम+एव
सत्यमाश्रित्य,सत्यम+आश्रित्य
वैकल्यमिति,वैकल्यम+इति
वचनमिति,वचनम+इति
प्रथममेकम,प्रथमम+एकम
अन्यत्रापि,अन्यत्र+अपि
हितमेव,हितम+एव
औदार्यमेव,औदार्यम+एव
बालोपि,बाल+अपि
लक्ष्मणमपि,लक्ष्मणम+अपि
व्याकरणमनेन,व्याकरणम+अनेन
वनमागत्य,वनम+आगत्य
आभरणमिव,आभरणम+इव
कथमभय,कथम+अभय
वयमेकत्र,वयम+एकत्र
मांसमेव,मांसम+एव
भूतिर्ध्रुवा,भूति+ध्रुवा
ततोऽनवरत,तत+अनवरत
तथाऽस्तु,तथा+अस्तु
गर्भोऽजनि,गर्भ+अजनि
सुमतिरिति,सुमति+इति
वन्ध्येति,वन्ध्या+इति
प्रीतिरस्ति,प्रीति+अस्ति
चोऽसौ,च+असौ
नरोऽपि,नर+अपि
कौतुकमस्ति,कौतुकम+अस्ति
तत्राऽवसम,तत्र+अवसम
अथाऽन्यदा,अथ+अन्यदा
तत्राऽऽगत्य,तत्र+आगत्य
दत्तोऽस्ति,दत्त+अस्ति
सहाऽऽलोच्य,सह+आलोच्य
साधारणस्तु,साधारण+तु
अथाऽह,अथ+अह
क्वचिच्च,क्वचित+च
इदमवोचत,इदम+अवोचत
सुन्दरोऽजनि,सुन्दर+अजनि
मयाऽङ्गीकृतम,मया+अङ्गीकृतम
पुरमस्ति,पुरम+अस्ति
तत्राऽह,तत्र+अह
ममोपमाता,मम+उपमाता
चाऽस्य,च+अस्य
तन्निशम्य,तत+निशम्य
तथैवोक्त,तथैव+उक्त
उपाध्यायोऽवोचत,उपाध्याय+अवोचत
मैत्रीव,मैत्री+इव
नाऽऽगतम,न+आगतम
व्रतमादाय,व्रतम+आदाय
भटोऽस्ति,भट+अस्ति
सत्पुरुषोऽस्ति,सत्पुरुष+अस्ति
छायाऽपि,छाया+अपि
विचक्षणाऽपि,विचक्षणा+अपि
चत्वारोऽपि,चत्वार+अपि
मुग्धस्तु,मुग्ध+तु
पश्चात्तापश्च,पश्चात्ताप+च
कथमेषा,कथम+एषा
गुरुराह,गुरु+आह
तदैषा,तदा+एषा
ततोऽत्र,तत+अत्र
अथैव,अथ+एव
महानन्याय,महान+अन्याय
तदज्ञान,तत+अज्ञान
अतोऽत,अत+अत
प्रविष्टस्तत्र,प्रविष्ट+तत्र
स्थितोऽस्ति,स्थित+अस्ति
व्यथाऽस्ति,व्यथा+अस्ति
नाऽन्यत्र,न+अन्यत्र
विद्याधरस्तु,विद्याधर+तु
प्रवृत्तस्तावत,प्रवृत्त+तावत
राजाऽस्ति,राजा+अस्ति
वयस्योऽस्ति,वयस्य+अस्ति
दत्ताऽस्ति,दत्ता+अस्ति
ततोऽद्य,तत+अद्य
पुनरसौ,पुन+असौ
विदन्नपि,विदन+अपि
कथितश्च,कथित+च
मद्भ्राता,मत+भ्राता
यदित्थ,यत+इत्थ
तदत्र,तत+अत्र
भवदग्रे,भवत+अग्रे
अतोऽधुना,अत+अधुना
राजाऽऽह,राजा+आह
त्वत्र,तु+अत्र
राजाऽसि,राजा+असि
अनुमोदनैव,अनुमोदना+एव
महानस्ति,महान+अस्ति
मौनमाधाय,मौनम+आधाय
महोत्सवस्तु,महोत्सव+तु
तत्राऽऽस्ते,तत्र+आस्ते
विधायाऽनेन,विधाय+अनेन
पुनर्मन्त्री,पुन+मन्त्री
युक्तमस्य,युक्तम+अस्य
येनेह,येन+इह
मयोक्त,मया+उक्त
सहाऽनिश,सह+अनिश
विदुरस्तु,विदुर+तु
चाऽन्योऽन्य,च+अन्योन्य
एकदाऽह,एकदा+अह
सचिवोऽस्ति,सचिव+अस्ति
वाच्येति,वाच्य+इति
तेनागत्य,तेन+आगत्य
धैर्यमित्यादि,धैर्यम+इत्यादि
मत्तोऽपि,मत्त+अपि
मनस्याधाय,मनसि+आधाय
निर्गतोऽह,निर्गत+अह
रत्नवत्यपि,रत्नवती+अपि
प्रमुदितोऽह,प्रमुदित+अह
सम्भूयाऽग्रे,सम्भूय+अग्रे
कोलाहलोऽजनि,कोलाहल+अजनि
ममाभिमुख,मम+अभिमुख
सम्यगद्य,सम्यक+अद्य
त्वद्यप्रभृति,तु+अद्यप्रभृति
विभाकरोऽपि,विभाकर+अपि
मृगयासक्त,मृगया+आसक्त
युवामपि,युवाम+अपि
प्रसृतश्च,प्रसृत+च
पुनरागत्य,पुन+आगत्य
नाऽधुना,न+अधुना
इत्यल,इति+अल
पिताऽपि,पिता+अपि
खड्गमाकृष्ट,खड्गम+आकृष्ट
हतस्तदा,हत+तदा
धावितोऽहम,धावित+अहम
प्रबुद्धोऽह,प्रबुद्ध+अह
ततोऽद्यप्रभृति,तत+अद्यप्रभृति
दिवसोऽतिक्रान्त,दिवस+अतिक्रान्त
विभाकरश्च,विभाकर+च
मामनु,माम+अनु
मुक्तोऽहम,मुक्त+अहम
नियन्त्रितोऽह,नियन्त्रित+अह
सख्यमस्ति,सख्यम+अस्ति
सम्बन्धोऽस्ति,सम्बन्ध+अस्ति
गुणायाऽभवत,गुणाय+अभवत
ततोऽह,तत+अह
मुक्ताऽन्यत्र,मुक्ता+अन्यत्र
ततोऽधुना,तत+अधुना
प्रथमोऽधिकार,प्रथम+अधिकार
अवतीर्णोऽह,अवतीर्ण+अह
प्रीतिर्जाता,प्रीति+जाता
मामाश्रित,माम+आश्रित
प्रभृत्यह,प्रभृति+अह
नाऽस्य,न+अस्य
मामित्थ,माम+इत्थ
द्वासप्ततिरपि,द्वासप्तति+अपि
पुनर्मा,पुन+मा
चाऽत,च+अत
वाञ्छाऽस्ति,वाञ्छा+अस्ति
सहाऽऽदाय,सह+आदाय
महामतिर्नाम,महामति+नाम
अधुनाऽत्र,अधुना+अत्र
कुमारस्तु,कुमार+तु
विशारदोऽस्ति,विशारद+अस्ति
मच्चरित,मत+चरित
बुद्धिर्जाता,बुद्धि+जाता
मामुवाच,माम+उवाच
मानमित्यादि,मानम+इत्यादि
क्वेय,क्व+इय
सूर्योऽस्त,सूर्य+अस्त
तथाऽप्यह,तथापि+अह
सूरिराह,सूरि+आह
विचक्षणश्च,विचक्षण+च
विचक्षणस्तु,विचक्षण+तु
साऽन्यदा,सा+अन्यदा
विमर्शोऽपि,विमर्श+अपि
जडश्च,जड+च
जडस्तु,जड+तु
पार्श्वमेत्य,पार्श्वम+एत्य
लोलतेति,लोलता+इति
सर्वथाऽपि,सर्वथा+अपि
लोलतादिशति,लोलता+आदिशति
तन्नगर,तत+नगर
चाऽऽदाय,च+आदाय
कालस्तथापि,काल+तथापि
सन्तोषस्तु,सन्तोष+तु
क्वास्ति,क्व+अस्ति
कृतमनेन,कृतम+अनेन
पुमानाह,पुमान+आह
साऽत्यन्त,सा+अत्यन्त
अथाऽत्र,अथ+अत्र
नियुक्तोऽसि,नियुक्त+असि
नियुक्तोऽस्ति,नियुक्त+अस्ति
स्कन्धावारोऽस्ति,स्कन्धावार+अस्ति
साऽटवी,सा+अटवी
साऽस्य,सा+अस्य
पुनर्विमर्श,पुन+विमर्श
पार्वत्यग्रे,पार्वती+अग्रे
त्वेषा,तु+एषा
पञ्चाऽपि,पञ्च+अपि
षोडशाऽपि,षोडशा+अपि
आकृतिरेव,आकृति+एव
चत्वारस्तु,चत्वार+तु
तदनुमोदन,तत+अनुमोदन
यतस्ते,यत+ते
यावस्तत्र,याव+तत्र
कौतुकमिति,कौतुकम+इति
सुखमास्ते,सुखम+आस्ते
पर्य्यायागत,पर्य्याय+आगत
कालोऽतिक्रान्त,काल+अतिक्रान्त
तदालोक्य,तदा+आलोक्य
तदद्याऽपि,तत+अद्यापि
विमर्शोऽवोचत,विमर्श+अवोचत
तत्राऽपि,तत्र+अपि
अथाऽत्रान्तरे,अथ+अत्रान्तरे
प्रवृत्तस्तत,प्रवृत्त+तत
पतितोऽस्ति,पतित+अस्ति
वीर्यमिति,वीर्यम+इति
चाऽहो,च+अहो
प्रकर्षोऽपि,प्रकर्ष+अपि
ततोऽन्यत्र,तत+अन्यत्र
चिरेणाऽपि,चिरेण+अपि
प्रविष्टोऽस्ति,प्रविष्ट+अस्ति
जाताऽस्ति,जाता+अस्ति
तत्राऽऽगत,तत्र+आगत
गतिरेव,गति+एव
कुतोऽपि,कुत+अपि
तमालोक्य,तम+आलोक्य
किञ्चिच्च,किञ्चित+च
तदेहि,तत+एहि
जीवन्मुक्तोऽद्य,जीवन्मुक्त+अद्य
वेष्टितोऽस्ति,वेष्टित+अस्ति
प्रकर्षोऽवोचत,प्रकर्ष+अवोचत
किमर्थमसौ,किमर्थम+असौ
परत्राऽपि,परत्र+अपि
यदमी,यत+अमी
विमर्शोऽवदत,विमर्श+अवदत
चाऽत्र,च+अत्र
प्रत्यादिष्ट,प्रति+आदिष्ट
कश्चिदुज्ज्वल,कश्चित+उज्ज्वल
हर्षस्तत्र,हर्ष+तत्र
सर्वोऽपि,सर्व+अपि
यतोऽस्य,यत+अस्य
गृहागतोऽस्ति,गृहागत+अस्ति
प्रविष्टश्च,प्रविष्ट+च
विश्वमपि,विश्वम+अपि
प्रत्येकमत्र,प्रत्येकम+अत्र
पश्याऽत्र,पश्य+अत्र
एवाऽस्ति,एव+अस्ति
एवाऽऽस्ते,एव+आस्ते
रुजाऽभिधा,रुजा+अभिधा
परिवारस्तेन,परिवार+तेन
कदाऽप्यस्ति,कदापि+अस्ति
स्थितिरस्ति,स्थिति+अस्ति
बधिरोऽस्ति,बधिर+अस्ति
यदुत,यत+उत
त्वरितमस्य,त्वरितम+अस्य
श्रुतोऽस्ति,श्रुत+अस्ति
पुनर्भृश,पुन+भृश
पठनमनादृत्य,पठनम+अनादृत्य
उभयेऽपि,उभये+अपि
साङ्ख्यस्तु,साङ्ख्य+तु
प्रत्यक्षमनुमान,प्रत्यक्षम+अनुमान
धर्मस्तत,धर्म+तत
कुतस्तर्हि,कुत+तर्हि
प्रयत्नस्तु,प्रयत्न+तु
पञ्चापि,पञ्च+अपि
नवाऽपि,नव+अपि
कदाऽपि,कदा+अपि
चेद,च+इद
एवाऽत्र,एव+अत्र
समस्तमपि,समस्तम+अपि
तत्त्वतस्ते,तत्त्वत+ते
दानमपि,दानम+अपि
विहितश्च,विहित+च
तद्वच,तत+वच
तत्राऽनेक,तत्र+अनेक
वर्णितश्च,वर्णित+च
चाऽऽपृच्छ्य,च+आपृच्छ्य
मातापितरावपि,मातापितरौ+अपि
सोऽह,स+अह
यथासुखमिति,यथासुखम+इति
निर्घृणतेति,निर्घृणता+इति
त्वल,तु+अल
सहाऽन्यत्र,सह+अन्यत्र
चक्रवर्त्त्यसौ,चक्रवर्त्ती+असौ
तदभिमुख,तत+अभिमुख
तपनश्चक्री,तपन+चक्री
प्रत्युक्त,प्रति+उक्त
कुत्रचिच्च,कुत्रचित+च
विधायाऽन्यदा,विधाय+अन्यदा
गृहीत्वेदानी,गृहीत्वा+इदानी
अथाऽस्ति,अथ+अस्ति
तोनोक्तम,तेन+उक्तम
शिक्षितोऽह,शिक्षित+अह
ततस्तिष्ठ,तत+तिष्ठ
त्वदन्तिके,त्वत+अन्तिके
यद्यप्यह,यद्यपि+अह
तथाऽप्यसौ,तथापि+असौ
यावदग्रे,यावत+अग्रे
मिथुनमेक,मिथुनम+एक
इयमस्य,इयम+अस्य
दयिताऽपि,दयिता+अपि
स्तम्भितोऽसौ,स्तम्भित+असौ
स्तम्भितोऽपि,स्तम्भित+अपि
तेनोक्ते,तेन+उक्त
मामिति,माम+इति
चूतमञ्जरीय,चूतमञ्जरी+इय
तदागमन,तत+आगमन
पलायितोऽपि,पलायित+अपि
विमलोऽपि,विमल+अपि
कृष्णाऽङ्गो,कृष्ण+अङ्ग
वीक्षितस्तदा,वीक्षित+तदा
महच्छरीर,महत+शरीर
कश्चिन्मुनि,कश्चित+मुनि
तद्रत्नम,तत+रत्नम
प्राप्तोऽह,प्राप्त+अह
तद्वन,तत+वन
मामनुपद,माम+अनुपद
रत्नमपि,रत्नम+अपि
मामदृष्ट्वा,माम+अदृष्ट्वा
शीघ्रमिति,शीघ्रम+इति
समागतोऽह,समागत+अह
स्थितोऽह,स्थित+अह
पतितोऽह,पतित+अह
कथञ्चिच्छनै,कथञ्चित+शनै
नोपशान्ता,न+उपशान्ता
वेदनेति,वेदना+इति
रत्नमदृष्ट्वा,रत्नम+अदृष्ट्वा
हृतमिति,हृतम+इति
अहोऽनेन,अहो+अनेन
कारितोऽहम,कारित+अहम
धिक्कृतश्च,धिक्कृत+च
कुशलप्रश्नश्चक्रे,कुशलप्रश्न+चक्रे
विस्मृतोऽसि,विस्मृत+असि
नाऽऽगमम,न+आगमम
विमलस्तु,विमल+तु
पुनस्तथैव,पुन+तथैव
धृतोऽवदत,धृत+अवदत
प्रवृत्तस्दा,प्रवृत्त+तदा
रेऽधम,रे+अधम
वयमित्यादि,वयम+इत्यादि
पुनर्नृप,पुन+नृप
शिवालयोऽस्ति,शिवालय+अस्ति
सोऽनिश,स+अनिश
तन्मठ,तत+मठ
तथाऽसौ,तथा+असौ
तत्राऽसौ,तत्र+असौ
केचनाऽपि,केचन+अपि
भवन्त्यपि,भवन्ति+अपि
बुधस्तु,बुध+तु
दृष्टैका,दृष्टा+एका
कालमुषित्वा,कालम+उषित्वा
सम्यगह,सम्यक+अह
तावदेका,तावत+एका
यामस्तत्र,याम+तत्र
संयमोऽपि,संयम+अपि
तदवस्थ,तत+अवस्थ
व्याधिरिव,व्याधि+इव
बलाऽबल,बला+अबल
तद्राज्य,तत+राज्य
अथाऽसौ,अथ+असौ
सर्वथेति,सर्वथा+इति
बुधोऽत्यन्त,बुध+अत्यन्त
मन्दस्तु,मन्द+तु
भ्रमन्नेकदा,भ्रमन+एकदा
मुक्ताऽस्ति,मुक्ता+अस्ति
प्रबुद्धोऽहम,प्रबुद्ध+अहम
पलायितस्तदनु,पलायित+तदनु
लब्धस्तदा,लब्ध+तदा
वामदेवस्तु,वामदेव+तु
साम्प्रतमपि,साम्प्रतम+अपि
संयमनमिति,संयमनम+इति
सूरिरवदत,सूरि+अवदत
सार्द्धमन्यत्र,सार्द्धम+अन्यत्र
प्रेरितोऽह,प्रेरित+अह
सरलोऽपि,सरल+अपि
निद्राऽऽयाति,निद्रा+आयाति
मदभिमुख,मत+अभिमुख
विडम्बितोऽह,विडम्बित+अह
मदादिष्ट,मत+आदिष्ट
केशरीव,केशरी+इव
प्रसूतोऽहम,प्रसूत+अहम
ममाऽभिधा,मम+अभिधा
मनस्येव,मनसि+एव
किमथवा,किम+अथवा
तावदेक,तावत+एक
नूनमत्र,नूनम+अत्र
प्रविष्टोऽह,प्रविष्ट+अह
किमहो,किम+अहो
तथाप्यह,तथापि+अह
यद्रत्नद्वीप,यत+रत्नद्वीप
सम्प्राप्तश्च,सम्प्राप्त+च
चाऽनेकधा,च+अनेकधा
राज्यमिति,राज्यम+इति
एकदाऽऽपन्नसत्त्वा,एकदा+आपन्नसत्त्वा
