श्रीमद्भगवद्गीता,श्रीमत+भगवत+गीता
द्वितीयस्तत्राह,द्वितीय+तत्र+आह
वारयितेत्याह,वारयिता+इति+आह
अथैवमिति,अथ+एवम+इति
तर्ह्यप्रामाण्यमिव,तर्हि+अप्रामाण्यम+इव
प्रामाण्यमपीति,प्रामाण्यम+अपि+इति
चेत्तदसारम,चेत+तत+असारम
तावदेवैक,तावत+एव+एक
माभून्नाम,मा+भूत+नाम
काचिद्विप्रतिपत्तिरिति,काचित+विप्रतिपत्ति+इति
प्रयोगश्चेति,प्रयोग+च+इति
हेतुरित्याह,हेतु+इति+आह
नान्यत्रेत्यत्र,न+अन्यत्र+इति+अत्र
समूहालम्बनेत्यर्थ,समूहालम्बन+इति+अर्थ
तत्राप्यतिव्याप्तिरिति,तत्र+अपि+अतिव्याप्ति+इति
तज्ज्ञानेऽपि,तत+ज्ञाने+अपि
चाव्याप्तिरिति,च+अव्याप्ति+इति
तत्राप्यव्याप्ति,तत्र+अपि+अव्याप्ति
लक्षणमस्त्विति,लक्षणम+अस्तु+इति
तन्निश्चयेत्यर्थ,तत+निश्चय+इति+अर्थ
सर्वेतीति,सर्व+इति+इति
तदित्याशङ्क्य,तत+इति+आशङ्क्य
हेत्वाभासोऽयमिति,हेत्वाभास+अयम+इति
यच्चान्यथेत्यादि,यत+च+अन्यथा+इत्यादि
नाव्याप्तिरित्यर्थ,न+अव्याप्ति+इति+अर्थ
निरुक्तेत्यर्थ,निरुक्त+इति+अर्थ
नेत्यर्थ,न+इति+अर्थ
नातिव्याप्तिरित्यर्थ,न+अतिव्याप्ति+इति+अर्थ
नातिव्याप्तिरित्यपि,न+अतिव्याप्ति+इति+अपि
अर्थादित्यस्यानुपपत्ति,अर्थात+इति+अस्य+अनुपपत्ति
अपरोऽपीति,अपर+अपि+इति
यज्ज्ञानमिति,यत+ज्ञानम+इति
अन्यथेत्यस्य,अन्यथा+इति+अस्य
यस्येत्यर्थ,यस्य+इति+अर्थ
तदव्याप्तिर्न,तत+अव्याप्ति+न
इत्यपीति,इति+अपि+इति
तज्ज्ञानेति,तत+ज्ञान+इति
असिद्धेत्यत,असिद्ध+इति+अत
तत्राप्यन्यत्र,तत्र+अपि+अन्यत्र
हेतुरित्याशय,हेतु+इति+आशय
चेत्युक्तम,च+इति+उक्तम
उभयत्रापीति,उभयत्र+अपि+इति
यदनन्तरमसति,यत+अनन्तरम+असति
वेत्यर्थ,वा+इति+अर्थ
स्यादित्यत,स्यात+इति+अत
चैवमिति,च+एवम+इति
अप्यर्थश्चैत्यपि,अपि+अर्थ+च+इति+अपि
स्यादित्यपि,स्यात+इति+अपि
तत्सामानाधिकरण्येति,तत+सामानाधिकरण्य+इति
तन्निश्चयोऽपि,तत+निश्चय+अपि
भूत्तत्रापि,भूत+तत्र+अपि
पाठस्तत्रापि,पाठ+तत्र+अपि
त्वित्यर्थ,तु+इति+अर्थ
तदेत्यर्थ,तत+इति+अर्थ
यत्सामान्यमिति,यत+सामान्यम+इति
संशयोऽप्रमेति,संशय+अप्रमा+इति
तत्रानुमितिरेव,तत्र+अनुमिति+एव
ज्ञाप्येत्युक्तम,ज्ञाप्य+इति+उक्तम
चात्रैव,च+अत्र+एव
तत्सांकर्यमेव,तत+सांकर्यम+एव
विनेत्यत्र,विना+इति+अत्र
तद्बलादेव,तत+बलात+एव
विनैवेति,विना+एव+इति
नानुमितिरिति,न+अनुमिति+इति
यत्तावदुक्तम,यत+तावत+उक्तम
तत्तेनैव,तत+तेन+एव
नान्येनेत्यर्थात,न+अन्येन+इति+अर्थात
समयेत्यर्थ,समय+इति+अर्थ
तत्साधनेति,तत+साधन+इति
नान्यदिति,न+अन्यत+इति
क्षतिरित्याशङ्क्य,क्षति+इति+आशङ्क्य
तेनापीत्युक्तम,तेन+अपि+इति+उक्तम
तदपीति,तत+अपि+इति
चेत्यपि,च+इति+अपि
कृत्वेत्यर्थ,कृत्वा+इति+अर्थ
नेश्वरमादाय,न+ईश्वरम+आदाय
तदवच्छेदकमिति,तत+अवच्छेदकम+इति
इत्युक्तमिति,इति+उक्तम+इति
तन्मतमिति,तत+मतम+इति
प्रत्येकमित्यस्य,प्रत्येकम+इति+अस्य
नन्वत्रापि,ननु+अत्र+अपि
तत्रापीश्वरमादाय,तत्र+अपि+ईश्वरम+आदाय
ध्वंसेत्यर्थ,ध्वंस+इति+अर्थ
संयोगोऽप्यस्तु,संयोग+अपि+अस्तु
कृतमित्यत,कृतम+इति+अत
इत्युभयमपि,इति+उभयम+अपि
ध्वंसोऽपीत्युक्तिरपि,ध्वंस+अपि+इति+उक्ति+अपि
क्षितिरेवेति,क्षिति+एव+इति
यदीत्युक्तम,यदि+इति+उक्तम
तत्रैवेति,तत्र+एव+इति
तदानीमप्रत्यक्षोऽपि,तदानीम+अप्रत्यक्ष+अपि
नन्वेमपि,ननु+एवम+अपि
तदितरश्च,तत+इतर+च
चोपाधिरिति,च+उपाधि+इति
बाधोऽपीति,बाध+अपि+इति
ज्ञानमनित्यमेवेति,ज्ञानम+अनित्यम+एव+इति
स्याच्चेति,स्यात+च+इति
नन्विदमप्युक्तम,ननु+इदम+अपि+उक्तम
अनुमितिरस्तीति,अनुमिति+अस्ति+इति
तथास्त्विति,तथा+अस्तु+इति
चेदमपि,च+इदम+अपि
तदस्त्येव,तत+अस्ति+एव
तूपलक्षणमिति,तु+उपलक्षणम+इति
हीत्यस्य,हि+इति+अस्य
तदङ्गीकृतमिति,तत+अङ्गीकृतम+इति
चास्यापि,च+अस्य+अपि
नन्ववच्छेदकमपि,ननु+अवच्छेदकम+अपि
तदुपात्तमिति,तत+उपात्तम+इति
चात्रेति,च+अत्र+इति
नान्यत्रापि,न+अन्यत्र+अपि
सिद्धसाधनमित्याशङ्क्य,सिद्धसाधनम+इति+आशङ्क्य
सत्यप्रसिद्धिरेव,सति+अप्रसिद्धि+एव
कस्तर्हीति,क+तर्हि+इति
एवमत्रापि,एवम+अत्र+अपि
वासनैवेति,वासना+एव+इति
चेहापि,च+इह+अपि
अन्यथेत्यापातत,अन्यथा+इति+आपातत
अस्यैवेति,अस्य+एव+इति
केवलमिदमवदत,केवलम+इदम+अवदत
तस्मादप्यधिकमहम,तस्मात+अपि+अधिकम+अहम
केवलमिदमावश्यक,केवलम+इदम+आवश्यक
विपच्चापि,विपत+च+अपि
सोऽधुनाऽपि,स+अधुना+अपि
स्याच्छासकस्तत्र,स्यात+शासक+तत्र
तच्चित्रमादाय,तत+चित्रम+आदाय
पुनस्तमवदत,पुन+तम+अवदत
ततस्तेनोक्तम,तत+तेन+उक्तम
केयमुन्मत्तता,का+इयम+उन्मत्तता
आयोऽतीवाधिक,आय+अतीव+अधिक
आयोऽप्यधिकोऽस्ति,आय+अपि+अधिक+अस्ति
पुनस्तेनोक्तम,पुन+तेन+उक्तम
त्वमद्वितीयोऽसि,त्वम+अद्वितीय+असि
किञ्चिदस्तीति,किञ्चित+अस्ति+इति
प्रथमोऽयमवसर,प्रथम+अयम+अवसर
कस्त्वामत्र,क+त्व+अत्र
मिथ्योक्तिरेषा,मिथ्या+उक्ति+एषा
अतस्तेनादिष्टम,अत+तेन+आदिष्टम
ममाभिलाषोऽस्ति,मम+अभिलाष+अस्ति
अहमद्यैव,अहम+अद्य+एव
भूपालस्तमवदत,भूपाल+तम+अवदत
त्वथैव,तु+अथ+एव
अन्याऽप्येका,अन्या+अपि+एका
यावन्नायाति,यावत+न+आयाति
प्रियोऽप्यसौ,प्रिय+अपि+असौ
परमयमस्ति,परम+अयम+अस्ति
अयमाशयोऽसति,अयम+आशय+असति
सुधीर्नासौ,सुधी+न+असौ
वयमधुनैव,वयम+अधुना+एव
ततस्तेनाऽसौ,तत+तेन+असौ
किमिदमाचरित,किम+इदम+आचरित
नीतिर्मतिर्मम,नीति+मति+मम
कस्तेऽपराधश्च,क+ते+अपराध+च
कश्चिदन्योऽपि,कश्चित+अन्य+अपि
सोप्युवाच,स+अपि+उवाच
किञ्चिदप्यवोचत,किञ्चित+अपि+अवोचत
विचक्षणाऽप्यहमिव,विचक्षणा+अपि+अहम+इव
यतस्तत्पाप,यत+तत+पाप
तेऽपराध्यतीति,ते+अपराध्यति+इति
बालोऽयमिति,बाल+अयम+इति
विधस्त्वह,विध+तु+अह
पुनर्गुरुराह,पुन+गुरु+आह
जायतेऽस्येति,जायते+अस्य+इति
किमनेनेत्थ,किम+अनेन+इत्थ
अत्रायातीति,अत्र+आयाति+इति
सेवकोऽस्मीति,सेवक+अस्मि+इति
मामित्युवाच,माम+इति+उवाच
अथैकदाऽह,अथ+एकदा+अह
मारितस्तातोऽपि,मारित+तात+अपि
नन्दिवर्द्धनोऽयमिति,नन्दिवर्द्धन+अयम+इति
ततस्तेनाऽपि,तत+तेन+अपि
महानुभावोऽयमिति,महानुभाव+अयम+इति
अथैकदाह,अथ+एकदा+अह
शक्तिर्लब्धास्ति,शक्ति+लब्धा+अस्ति
उद्वाहितश्चाऽहम,उद्वाहित+च+अहम
अस्त्यनाद्यनन्त,अस्ति+अनादि+अनन्त
चाऽरतिर्नाम,च+आरति+नाम
समस्तमपीद,समस्तम+अपि+इद
यथाऽत्राऽपि,यथा+अत्र+अपि
पुनस्ततोऽपि,पुन+तत+अपि
पश्याऽधुनाऽस्य,पश्य+अधुना+अस्य
विडम्बितश्चाऽसौ,विडम्बित+च+असौ
रमणस्तत्राऽपि,रमण+तत्र+अपि
कोऽसाविति,क+असौ+इति
वासवश्चिरेणागत,वासव+चिरेण+आगत
तदैवेक,तदा+एव+एक
तत्राऽप्यधोऽध,तत्र+अपि+अध+अध
प्रभुस्तदेव,प्रभु+तदा+एव
एवाऽन्तर्भवति,एव+अन्त+भवति
वैद्यस्तथैवाह,वैद्य+तथैव+आह
इत्थमेवाऽस्य,इत्थम+एव+अस्य
लग्नस्ततस्त,लग्न+तत+त
वैद्यस्तमाह,वैद्य+तम+आह
एवाऽन्तर्भवन्ति,एव+अन्त+भवन्ति
स्यादित्यल,स्यात+इति+अल
कृतकृत्यस्तथाऽप्यत्र,कृतकृत्य+तथापि+अत्र
मनस्तदत्र,मन+तत+अत्र
निर्गुणोऽप्यह,निर्गुण+अपि+अह
साक्षाल्लक्ष्मीरिवेति,साक्षात+लक्ष्मी+इव+इति
मदभिमुखणालोक्य,मत+अभिमुखम+आलोक्य
मामत्राऽऽगत,माम+अत्र+आगत
मिलितस्तमपि,मिलित+तम+अपि
तद्यामस्तत्र,तत+याम+तत्र
मयाऽधुनैव,मया+अधुना+एव
भोक्तव्यमेवेति,भोक्तव्यम+एव+इति
प्रार्थितश्चासौ,प्रार्थित+च+असौ
लक्षितश्चाऽसौ,लक्षित+च+असौ
प्रणामस्तेनाऽपि,प्रणाम+तेन+अपि
पुनस्ततोऽप्यसौ,पुन+तत+अपि+असौ
सहसैवाभिषेणन,सहसा+एव+अभिषेणन
किमेवमसमञ्जस,किम+एवम+असमञ्जस
पलायितोऽस्तीति,पलायित+अस्ति+इति
तत्राऽहमेकाकी,तत्र+अहम+एकाकी
तद्धनमादाय,तत+धनम+आदाय
पुत्रोऽयमित्यादि,पुत्र+अयम+इत्यादि
दत्तस्तदाऽन्योऽपि,दत्त+तदा+अन्य+अपि
पुनर्मयोक्त,पुन+मया+उक्त
यद्यप्येवमस्ति,यद्यपि+एवम+अस्ति
प्रसूतस्तदैव,प्रसूत+तदा+एव
किमेवमेकतानेन,किम+एवम+एकता+अनेन
कुमारस्त्वाकारगोपन,कुमार+तु+आकारगोपन
तदश्रद्दधानोऽपि,तद+अश्रद्दधान+अपि
चारुरेवाऽस्ति,चारु+एव+अस्ति
अथाऽनेनाऽन्यदा,अथ+अनेन+अन्यदा
बलरामश्चेति,बलराम+च+इति
अस्तीत्यत,अस्ति+इति+अत
नैकत्रैवाग्रह,न+एकत्र+एव+आग्रह
हीश्वरोऽपि,हि+ईश्वर+अपि
एवमपीति,एवम+अपि+इति
अत्रायमभिसन्धि,अत्र+अयम+अभिसन्धि
शक्तिग्रहस्तथैवोपस्थिति,शक्तिग्रह+तथैव+उपस्थिति
प्रयोगस्तत्रापि,प्रयोग+तत्र+अपि
तूक्तमेव,तु+उक्तम+एव
तमानयेति,तम+आनय+इति
तथाऽत्रापि,तथा+अत्र+अपि
केचित्त्विति,केचित+तु+इति
दूषितस्तत्तु,दूषित+तत+तु
नात्रापि,न+अत्र+अपि
चेयमसति,च+इयम+असति
तद्व्यावृत्तिरिति,तत+व्यावृत्ति+इति
अर्थादितीति,अर्थात+इति+इति
अत्रेदमपि,अत्र+इदम+अपि
स्वीकृत्याप्याह,स्वीकृत्य+अपि+आह
नरपतिर्बलवांस्तु,नरपति+बलवान+तु
यन्ममापि,यत+मम+अपि
प्रसूतस्तेनैव,प्रसूत+तेन+एव
सोऽप्यतिरथ,स+अपि+अतिरथ
नोक्तमिति,न+उक्तम+इति
एवान्वयोस्तु,एव+अन्वय+अस्तु
पदार्थस्तत्प्रतियोगिक,पदार्थ+तत+प्रतियोगिक
विभक्तिर्यस्येति,विभक्ति+यस्य+इति
तत्रानुपपत्तिरिति,तत्र+अनुपपत्ति+इति
एकत्वान्वयस्तत्र,एकत्व+अन्वय+तत्र
परिष्कृतैकत्वान्वय,परिष्कृत+एकत्व+अन्वय
तत्रैकत्वान्वयोपि,तत्र+एकत्व+अन्वय+अपि
ग्रन्थाऽसंगतिरत,ग्रन्थ+असंगति+अत
व्युत्पन्नोयमिति,व्युत्पन्न+अयम+इति
पशुस्तत्सजातीय,पशु+तत+सजातीय
तच्चानुपदमेव,तत+च+अनुपदम+एव
प्रश्नाऽसंगतिश्च,प्रश्न+असंगति+च
एवै.कत्वान्वय,एव+एकत्व+अन्वय
तत्रैकत्वान्वय,तत्र+एकत्व+अन्वय
न्यायश्चात्र,न्याय+च+अत्र
तत्रैवै.कत्वान्वय,तत्र+एव+एकत्व+अन्वय
नैकत्वान्वय,न+एकत्व+अन्वय
नीलोघटोस्तीति,नील+घट+अस्ति+इति
नीलश्चासौ,नील+च+असौ
घटश्चेति,घट+च+इति
चाऽऽनयनमिति,च+आनयनम+इति
अप्रसिद्धिरुक्तैव,अप्रसिद्धि+उक्त+एव
इत्युक्तिरसंगतैवेति,इति+उक्ति+असंगत+एव+इति
बोधस्तत्रेति,बोध+तत्र+इति
भेदाऽभावश्च,भेद+अभाव+च
एवेत्यर्थ,एव+इति+अर्थ
घटोनास्तीति,घट+न+अस्ति+इति
जहातीत्यर्थ,जहाति+इति+अर्थ
ग्रन्थाऽसंगतिश्च,ग्रन्थ+असंगति+च
सोऽस्तीति,स+अस्ति+इति
सुब्भिन्नेति,सुप+भिन्न+इति
तदेवाह,तत+एव+आह
प्रत्युदाहरणमाह,प्रति+उदाहरणम+आह
कथंनोक्तमिति,कथम+न+उक्तम+इति
द्रव्यंनीलमिति,द्रव्यम+नीलम+इति
सुतरामापत्तिरिति,सुतराम+आपत्ति+इति
समभिव्याहारोऽस्त्येवेत्याह,समभिव्याहार+अस्ति+एव+इति+आह
भानानुपपत्तिरिति,भान+अनुपपत्ति+इति
नीलोमणिर्गुण,नील+मणि+गुण
भानमुचितमिति12,भानम+उचितम+इति
वाऽनुगतैक,वा+अनुगत+एक
वत्स्वत्वमिति,वत+स्वत्वम+इति
योगोनेति,य+गोन+इति
लाघवमप्याह,लाघवम+अपि+आह
कारणमित्युक्तम,कारणम+इति+उक्तम
स्यात्प्रत्ययोऽसौ,स्यात+प्रत्यय+असौ
सुब्विभक्तिर्द्विधा,सुप+विभक्ति+द्विधा
पूर्ववदित्यन्यत्र,पूर्ववत+इति+अन्यत्र
नास्तीत्युक्तम,नास्ति+इति+उक्तम
क्वचित्प्रसिद्धान्यत्र,क्वचित+प्रसिद्ध+अन्यत्र
तत्रैवोक्तम,तत्र+एव+उक्तम
तमेकमिति,तम+एकम+इति
चैत्रोमैत्रश्च,चैत्र+मैत्र+च
द्विवचनानुपपत्तिश्च,द्विवचन+अनुपपत्ति+च
कारकमित्यन्वय,कारकम+इति+अन्वय
नोचितमिति,न+उचितम+इति
एवमेवेत्यर्थ,एवम+एव+इति+अर्थ
भानमावश्यकमिति,भानम+आवश्यकम+इति
जातिरित्युक्तम,जाति+इति+उक्तम
गच्छतीत्यस्य,गच्छति+इति+अस्य
नितरामेवागतिरिति,नितराम+एव+अगति+इति
चैहाकाशे,च+इह+आकाशे
